title,description,price,date_place
Supermoto KTM 500,"2 Takt Rakete.
KTM 500 MX 2 Takt.
5000.-CHF

Honda CR
Yamaha YZ
Suzuki RM
Kawasaki KX",No price found,No date & place found
"2 Takt Rakete.
KTM 500 MX 2 Takt.
5000.-CHF

Honda CR
Yamaha YZ
Suzuki RM
Kawasaki KX","Piaggio liberty 125i 
2500km
Top Zustand",No price found,No date & place found
Piaggio liberty,"Piaggio liberty 125i 
2500km
Top Zustand",No price found,No date & place found
"Piaggio liberty 125i 
2500km
Top Zustand","Vendo moto 
Malaguti
Funziona bene",No price found,No date & place found
Malaguti  xsm 50,"Vendo moto 
Malaguti
Funziona bene",No price found,No date & place found
"Vendo moto 
Malaguti
Funziona bene","Verkaufe Suzuki RM 250 Rahmen mit Zonshen 250cc 5 Gang Motor und Elektro Anlasser , ca 30 Std.
Sehr gut zustand.
Ideal für Kinder oder Anfänger. 
1600.-CHF",No price found,No date & place found
Suzuki RM 250,"Verkaufe Suzuki RM 250 Rahmen mit Zonshen 250cc 5 Gang Motor und Elektro Anlasser , ca 30 Std.
Sehr gut zustand.
Ideal für Kinder oder Anfänger. 
1600.-CHF",No price found,No date & place found
"Verkaufe Suzuki RM 250 Rahmen mit Zonshen 250cc 5 Gang Motor und Elektro Anlasser , ca 30 Std.
Sehr gut zustand.
Ideal für Kinder oder Anfänger. 
1600.-CHF","Zum Verkauf steht diese wunderschöne, vollausgestattete Triumph Street Triple 765 RS in Cosmic Yellow und erst knapp 1200km (wird noch gefahren). Die Werksgarantie läuft noch bis im Juni 2025 und kann gegen Aufpreis von CHF 600.- um 2 Jahre verlängert werden. Die Triumph wird frisch ab Service verkauft.

Das Motorrad wurde mit folgendem Original Triumph Zubehör im Wert von über CHF 5000.- ausgestattet:

- Tempomat
- Griffheizung 3-stufig
- Flyscreen
- LED Laufblinker vorne und hinten
- kurzes Heck
- Rahmen-Schutzbügel
- Schwingen-Schutz
- Gabel-Schutz
- Motordeckel Protektoren Kit
- Alu Bremsflüssigkeitsbehälter
- Reifendruck Kontrollsystem
- Bluetooth Connectivity Modul

Der Neupreis des Motorrads lag bei über CHF 17'000.-.

Das Motorrad kann bei ernsthaftem Interesse Probe gefahren und gegen Aufpreis auch geliefert werden.

Weitere Bilder können auf Anfrage geschickt werden.

Bei Fragen stehe ich gerne zur Verfügung.

Letzte Preis Anfragen werden nicht beantwortet.",No price found,No date & place found
Triumph Street Triple 765 RS,"Zum Verkauf steht diese wunderschöne, vollausgestattete Triumph Street Triple 765 RS in Cosmic Yellow und erst knapp 1200km (wird noch gefahren). Die Werksgarantie läuft noch bis im Juni 2025 und kann gegen Aufpreis von CHF 600.- um 2 Jahre verlängert werden. Die Triumph wird frisch ab Service verkauft.

Das Motorrad wurde mit folgendem Original Triumph Zubehör im Wert von über CHF 5000.- ausgestattet:

- Tempomat
- Griffheizung 3-stufig
- Flyscreen
- LED Laufblinker vorne und hinten
- kurzes Heck
- Rahmen-Schutzbügel
- Schwingen-Schutz
- Gabel-Schutz
- Motordeckel Protektoren Kit
- Alu Bremsflüssigkeitsbehälter
- Reifendruck Kontrollsystem
- Bluetooth Connectivity Modul

Der Neupreis des Motorrads lag bei über CHF 17'000.-.

Das Motorrad kann bei ernsthaftem Interesse Probe gefahren und gegen Aufpreis auch geliefert werden.

Weitere Bilder können auf Anfrage geschickt werden.

Bei Fragen stehe ich gerne zur Verfügung.

Letzte Preis Anfragen werden nicht beantwortet.",No price found,No date & place found
"Zum Verkauf steht diese wunderschöne, vollausgestattete Triumph Street Triple 765 RS in Cosmic Yellow und erst knapp 1200km (wird noch gefahren). Die Werksgarantie läuft noch bis im Juni 2025 und kann gegen Aufpreis von CHF 600.- um 2 Jahre verlängert werden. Die Triumph wird frisch ab Service verkauft.

Das Motorrad wurde mit folgendem Original Triumph Zubehör im Wert von über CHF 5000.- ausgestattet:

- Tempomat
- Griffheizung 3-stufig
- Flyscreen
- LED Laufblinker vorne und hinten
- kurzes Heck
- Rahmen-Schutzbügel
- Schwingen-Schutz
- Gabel-Schutz
- Motordeckel Protektoren Kit
- Alu Bremsflüssigkeitsbehälter
- Reifendruck Kontrollsystem
- Bluetooth Connectivity Modul

Der Neupreis des Motorrads lag bei über CHF 17'000.-.

Das Motorrad kann bei ernsthaftem Interesse Probe gefahren und gegen Aufpreis auch geliefert werden.

Weitere Bilder können auf Anfrage geschickt werden.

Bei Fragen stehe ich gerne zur Verfügung.

Letzte Preis Anfragen werden nicht beantwortet.","Hiermit Verkaufe ich meine sehr gepflegte Zontes ZT 125 U

Perfekt für Einsteiger (ab 16) , einfach zu fahren.
Kilometer ca. 8300
2 Schlüssel
1. Inv. 12.2021
Service wurde bei 1'000 km und bei 5'000 km gemacht. 
Kette wurde bei 5'000 Service ersetzt.

Ausstattung:

- BOSCH ABS
- DELPHI ECU
- Full LED Beleuchtung
- LED Blinker
- Keyless
- LCD Instrumentenkombi
- Ganganzeige
- Bremsscheibe vorne und hinten
- Wassergekühlt
- 6-Gang Schaltung
- Lenkerschalter beleuchtet
- usw....


Folgende Änderungen wurden vorgenommen:
- Kurzer Kennzeichenhalter
- Mini Blinker hinten
- Tankpad

Alle Originalteile vorhanden.

Verkauft wird sie wegen umstieg auf ein größeres Motorrad.

Das Motorrad kann gerne besichtigt werden.
Preis verhandelbar",No price found,No date & place found
Zontes ZT 125 U,"Hiermit Verkaufe ich meine sehr gepflegte Zontes ZT 125 U

Perfekt für Einsteiger (ab 16) , einfach zu fahren.
Kilometer ca. 8300
2 Schlüssel
1. Inv. 12.2021
Service wurde bei 1'000 km und bei 5'000 km gemacht. 
Kette wurde bei 5'000 Service ersetzt.

Ausstattung:

- BOSCH ABS
- DELPHI ECU
- Full LED Beleuchtung
- LED Blinker
- Keyless
- LCD Instrumentenkombi
- Ganganzeige
- Bremsscheibe vorne und hinten
- Wassergekühlt
- 6-Gang Schaltung
- Lenkerschalter beleuchtet
- usw....


Folgende Änderungen wurden vorgenommen:
- Kurzer Kennzeichenhalter
- Mini Blinker hinten
- Tankpad

Alle Originalteile vorhanden.

Verkauft wird sie wegen umstieg auf ein größeres Motorrad.

Das Motorrad kann gerne besichtigt werden.
Preis verhandelbar",No price found,No date & place found
"Hiermit Verkaufe ich meine sehr gepflegte Zontes ZT 125 U

Perfekt für Einsteiger (ab 16) , einfach zu fahren.
Kilometer ca. 8300
2 Schlüssel
1. Inv. 12.2021
Service wurde bei 1'000 km und bei 5'000 km gemacht. 
Kette wurde bei 5'000 Service ersetzt.

Ausstattung:

- BOSCH ABS
- DELPHI ECU
- Full LED Beleuchtung
- LED Blinker
- Keyless
- LCD Instrumentenkombi
- Ganganzeige
- Bremsscheibe vorne und hinten
- Wassergekühlt
- 6-Gang Schaltung
- Lenkerschalter beleuchtet
- usw....


Folgende Änderungen wurden vorgenommen:
- Kurzer Kennzeichenhalter
- Mini Blinker hinten
- Tankpad

Alle Originalteile vorhanden.

Verkauft wird sie wegen umstieg auf ein größeres Motorrad.

Das Motorrad kann gerne besichtigt werden.
Preis verhandelbar","Ich verkaufe meine geliebte Suzuki rmx 450 da ich leider nicht mehr viel Zeit habe sie zu fahren.
Sie ist in einem guten Zustand, hat neue Pneu hinten, vorne, hat noch MFK.
Das Motorrad hat eine Gas Drosslung die je nachdem heraus geschraubt Werden kann wenn man die grosse Prüfung hat, das Motorrad hat jedoch eine fehlende Schraube am Zahnrad hinten doch der Mechaniker sagte man kann weiterhin weiter fahren, da es kein grosses Problem sein sollte.

Keine Garantie 

Tel. 078 923 04 72",No price found,No date & place found
Suzuki RMX 450,"Ich verkaufe meine geliebte Suzuki rmx 450 da ich leider nicht mehr viel Zeit habe sie zu fahren.
Sie ist in einem guten Zustand, hat neue Pneu hinten, vorne, hat noch MFK.
Das Motorrad hat eine Gas Drosslung die je nachdem heraus geschraubt Werden kann wenn man die grosse Prüfung hat, das Motorrad hat jedoch eine fehlende Schraube am Zahnrad hinten doch der Mechaniker sagte man kann weiterhin weiter fahren, da es kein grosses Problem sein sollte.

Keine Garantie 

Tel. 078 923 04 72",No price found,No date & place found
"Ich verkaufe meine geliebte Suzuki rmx 450 da ich leider nicht mehr viel Zeit habe sie zu fahren.
Sie ist in einem guten Zustand, hat neue Pneu hinten, vorne, hat noch MFK.
Das Motorrad hat eine Gas Drosslung die je nachdem heraus geschraubt Werden kann wenn man die grosse Prüfung hat, das Motorrad hat jedoch eine fehlende Schraube am Zahnrad hinten doch der Mechaniker sagte man kann weiterhin weiter fahren, da es kein grosses Problem sein sollte.

Keine Garantie 

Tel. 078 923 04 72","Motorrad Roller Honda SES 125 
zu verkaufen. 
Wegen Nichtgebrauch - Verkaufe ich das Motorrad
Geprüft 2024 siehe Ausweis
Roller ist in einem guten Zustand! 
Keine Garantie nach Verkauf!",No price found,No date & place found
Honda SES 125 Dylan,"Motorrad Roller Honda SES 125 
zu verkaufen. 
Wegen Nichtgebrauch - Verkaufe ich das Motorrad
Geprüft 2024 siehe Ausweis
Roller ist in einem guten Zustand! 
Keine Garantie nach Verkauf!",No price found,No date & place found
"Motorrad Roller Honda SES 125 
zu verkaufen. 
Wegen Nichtgebrauch - Verkaufe ich das Motorrad
Geprüft 2024 siehe Ausweis
Roller ist in einem guten Zustand! 
Keine Garantie nach Verkauf!","Verkaufe meine FZ-8 leider aufgrund Umzug ins Ausland. Die FZ-8 ist mit limitiertem Yamaha Racing Blue Dekor sowie mit Felgenklebern ausgerüstet. Sie ist in gutem Zustand mit normalen Gebrauchsspuren, einzig am Auspuff sind ein paar Kratzer zu sehen (siehe Foto) aufgrund eines kleinen Sturzes auf dem Parkplatz. Der Akrapovic Endtopf ist legal mit Beiblatt und der Originalauspuff sowie die Spiegel sind auch vorhanden. Die FZ-8 wurde jährlich zum Service gebracht und ist extrem zuverlässig. MfK wurde 2023 gemacht und das Zubehör für eine 35kW Drosselung ist auch vorhanden. Bei Fragen gerne melden:).



Alternative zu folgenden Modellen: Yamaha MT-09, Yamaha XSR-900, Yamaha MT-07, Yamaha XSR-700, Kawasaki Z900, Kawasaki Z800, Kawasaki Z750, Suzuki GSX-S 8, Suzuki GSR-750, Honda CB-650R, Duke 790, Duke 690, Ducati Monster",No price found,No date & place found
Yamaha FZ8 Racing Blue,"Verkaufe meine FZ-8 leider aufgrund Umzug ins Ausland. Die FZ-8 ist mit limitiertem Yamaha Racing Blue Dekor sowie mit Felgenklebern ausgerüstet. Sie ist in gutem Zustand mit normalen Gebrauchsspuren, einzig am Auspuff sind ein paar Kratzer zu sehen (siehe Foto) aufgrund eines kleinen Sturzes auf dem Parkplatz. Der Akrapovic Endtopf ist legal mit Beiblatt und der Originalauspuff sowie die Spiegel sind auch vorhanden. Die FZ-8 wurde jährlich zum Service gebracht und ist extrem zuverlässig. MfK wurde 2023 gemacht und das Zubehör für eine 35kW Drosselung ist auch vorhanden. Bei Fragen gerne melden:).



Alternative zu folgenden Modellen: Yamaha MT-09, Yamaha XSR-900, Yamaha MT-07, Yamaha XSR-700, Kawasaki Z900, Kawasaki Z800, Kawasaki Z750, Suzuki GSX-S 8, Suzuki GSR-750, Honda CB-650R, Duke 790, Duke 690, Ducati Monster",No price found,No date & place found
"Verkaufe meine FZ-8 leider aufgrund Umzug ins Ausland. Die FZ-8 ist mit limitiertem Yamaha Racing Blue Dekor sowie mit Felgenklebern ausgerüstet. Sie ist in gutem Zustand mit normalen Gebrauchsspuren, einzig am Auspuff sind ein paar Kratzer zu sehen (siehe Foto) aufgrund eines kleinen Sturzes auf dem Parkplatz. Der Akrapovic Endtopf ist legal mit Beiblatt und der Originalauspuff sowie die Spiegel sind auch vorhanden. Die FZ-8 wurde jährlich zum Service gebracht und ist extrem zuverlässig. MfK wurde 2023 gemacht und das Zubehör für eine 35kW Drosselung ist auch vorhanden. Bei Fragen gerne melden:).



Alternative zu folgenden Modellen: Yamaha MT-09, Yamaha XSR-900, Yamaha MT-07, Yamaha XSR-700, Kawasaki Z900, Kawasaki Z800, Kawasaki Z750, Suzuki GSX-S 8, Suzuki GSR-750, Honda CB-650R, Duke 790, Duke 690, Ducati Monster","Ein sehr schönes Mofa zu einem sehr guten Zustand.

Marke: Tomos
Kilometerstand: 12 000 ca.
Service: gepflegt
Tank: 4L / 170 km
Fahrzeugausweis: Vorhanden
Jahrgang: 2017
Farbe: Schwarz
Mangel: Tacho ist defekt und Rückspiegel nicht vorhanden",No price found,No date & place found
Mofa Tomos,"Ein sehr schönes Mofa zu einem sehr guten Zustand.

Marke: Tomos
Kilometerstand: 12 000 ca.
Service: gepflegt
Tank: 4L / 170 km
Fahrzeugausweis: Vorhanden
Jahrgang: 2017
Farbe: Schwarz
Mangel: Tacho ist defekt und Rückspiegel nicht vorhanden",No price found,No date & place found
"Ein sehr schönes Mofa zu einem sehr guten Zustand.

Marke: Tomos
Kilometerstand: 12 000 ca.
Service: gepflegt
Tank: 4L / 170 km
Fahrzeugausweis: Vorhanden
Jahrgang: 2017
Farbe: Schwarz
Mangel: Tacho ist defekt und Rückspiegel nicht vorhanden","Verkaufe Yamaha X-Max 500
Kilometerstand: 47500 km
1. Inverkehrssetzung: 29.04.2011
Letzte MFK: 16.05.2024
Leistung: 32kW / 44PS
Bremsen und Bremsscheiben wurden 2024 ersetzt.
Gegen Aufpreis von 900.-CHF wird noch ein Service durchgeführt. (Antriebsriemen etc.)

Das Motorrad läuft einwandfrei und ist aktuell eingelöst.
Das Fahrwerk ist aus der Strassenmaschine. Dadurch kann sehr sportlich gefahren werden. Der Koffer ist abnehmbar.
Zudem wurde ein Zigarretten Anzünder für Strom zu Navigationsgeräten oder Handys eingebaut.",No price found,No date & place found
Yamaha X-Max 500 ABS - sehr gepflegt,"Verkaufe Yamaha X-Max 500
Kilometerstand: 47500 km
1. Inverkehrssetzung: 29.04.2011
Letzte MFK: 16.05.2024
Leistung: 32kW / 44PS
Bremsen und Bremsscheiben wurden 2024 ersetzt.
Gegen Aufpreis von 900.-CHF wird noch ein Service durchgeführt. (Antriebsriemen etc.)

Das Motorrad läuft einwandfrei und ist aktuell eingelöst.
Das Fahrwerk ist aus der Strassenmaschine. Dadurch kann sehr sportlich gefahren werden. Der Koffer ist abnehmbar.
Zudem wurde ein Zigarretten Anzünder für Strom zu Navigationsgeräten oder Handys eingebaut.",No price found,No date & place found
"Verkaufe Yamaha X-Max 500
Kilometerstand: 47500 km
1. Inverkehrssetzung: 29.04.2011
Letzte MFK: 16.05.2024
Leistung: 32kW / 44PS
Bremsen und Bremsscheiben wurden 2024 ersetzt.
Gegen Aufpreis von 900.-CHF wird noch ein Service durchgeführt. (Antriebsriemen etc.)

Das Motorrad läuft einwandfrei und ist aktuell eingelöst.
Das Fahrwerk ist aus der Strassenmaschine. Dadurch kann sehr sportlich gefahren werden. Der Koffer ist abnehmbar.
Zudem wurde ein Zigarretten Anzünder für Strom zu Navigationsgeräten oder Handys eingebaut.","Hiermit verkaufe ich meine Fantic XMF 125 welche mich 2 Jahre lang begleitet hat.

-wird frisch ab Service verkauft
-unfallfrei
-tiefer gelegt (1.63 und komme runter)
-aus erster Hand
-neues Dekor 
-neue Spiegel
-Motor ersetzt
-Preis VHB
Bei Interesse oder Fragen bitte melden 0797164699",No price found,No date & place found
Fantic XMF 125,"Hiermit verkaufe ich meine Fantic XMF 125 welche mich 2 Jahre lang begleitet hat.

-wird frisch ab Service verkauft
-unfallfrei
-tiefer gelegt (1.63 und komme runter)
-aus erster Hand
-neues Dekor 
-neue Spiegel
-Motor ersetzt
-Preis VHB
Bei Interesse oder Fragen bitte melden 0797164699",No price found,No date & place found
"Hiermit verkaufe ich meine Fantic XMF 125 welche mich 2 Jahre lang begleitet hat.

-wird frisch ab Service verkauft
-unfallfrei
-tiefer gelegt (1.63 und komme runter)
-aus erster Hand
-neues Dekor 
-neue Spiegel
-Motor ersetzt
-Preis VHB
Bei Interesse oder Fragen bitte melden 0797164699","Momentan gedrosselt auf 35kw und Tieferlegungskit integriert.
Letzter MFK: Oktober 2024",No price found,No date & place found
Yamaha MT-07,"Momentan gedrosselt auf 35kw und Tieferlegungskit integriert.
Letzter MFK: Oktober 2024",No price found,No date & place found
"Momentan gedrosselt auf 35kw und Tieferlegungskit integriert.
Letzter MFK: Oktober 2024",Perfetta tenuta in garage vendo x partenza all?estero prezzo trattabile tel 0796209607,No price found,No date & place found
Piaggio x9 500,Perfetta tenuta in garage vendo x partenza all?estero prezzo trattabile tel 0796209607,No price found,No date & place found
Perfetta tenuta in garage vendo x partenza all?estero prezzo trattabile tel 0796209607,"KTM 640 LC4
17400 Km
Letzte MFK 2021
Neue Batterie
Bremsen vorne fällig
Läuft Einwandfrei
Preis Leicht VB",No price found,No date & place found
KTM 640 LC4,"KTM 640 LC4
17400 Km
Letzte MFK 2021
Neue Batterie
Bremsen vorne fällig
Läuft Einwandfrei
Preis Leicht VB",No price found,No date & place found
"KTM 640 LC4
17400 Km
Letzte MFK 2021
Neue Batterie
Bremsen vorne fällig
Läuft Einwandfrei
Preis Leicht VB","Liebhaberfahrzeug welches immer wieder bestaunt wird.
Mit diversen kleinen Umbauten & Zubehör:
- Harley-Züdschloss
- Beleuchteter Indianerkopf auf dem Frontfender
- Indianerkopf auf dem Tank
- Diverse zusätzliche Chromteile
- ""Handschuhfach""
- Navi (GARMIN zümo) mit abschliessbarer Halterung
- Steckdose mit Thermometer
Motor wurde bei 50´000 km komplett überholt.
Um es vorzuführen zu können muss folgendes gemacht werden:
- Bremsen vorne und hinten
- Kupplung",No price found,No date & place found
KAWASAKI VN 1500 Classic Tourer (NOMAD),"Liebhaberfahrzeug welches immer wieder bestaunt wird.
Mit diversen kleinen Umbauten & Zubehör:
- Harley-Züdschloss
- Beleuchteter Indianerkopf auf dem Frontfender
- Indianerkopf auf dem Tank
- Diverse zusätzliche Chromteile
- ""Handschuhfach""
- Navi (GARMIN zümo) mit abschliessbarer Halterung
- Steckdose mit Thermometer
Motor wurde bei 50´000 km komplett überholt.
Um es vorzuführen zu können muss folgendes gemacht werden:
- Bremsen vorne und hinten
- Kupplung",No price found,No date & place found
"Liebhaberfahrzeug welches immer wieder bestaunt wird.
Mit diversen kleinen Umbauten & Zubehör:
- Harley-Züdschloss
- Beleuchteter Indianerkopf auf dem Frontfender
- Indianerkopf auf dem Tank
- Diverse zusätzliche Chromteile
- ""Handschuhfach""
- Navi (GARMIN zümo) mit abschliessbarer Halterung
- Steckdose mit Thermometer
Motor wurde bei 50´000 km komplett überholt.
Um es vorzuführen zu können muss folgendes gemacht werden:
- Bremsen vorne und hinten
- Kupplung","Tomos Sprint , tout d'origine et totalement fonctionnel",No price found,No date & place found
Vélomoteur,"Tomos Sprint , tout d'origine et totalement fonctionnel",No price found,No date & place found
"Tomos Sprint , tout d'origine et totalement fonctionnel","Zu verkaufen Sachs Hercules 623 CH Luxe
-Neuer Lack
-Neuer Kolben 
-Neuer Auspuff, Bereifung
Wurde viel Zeit inverstiert.
Wird bei Kauf mit neuer Plakette 2025 versehen.
0792671143",No price found,No date & place found
Sachs Hercules 623,"Zu verkaufen Sachs Hercules 623 CH Luxe
-Neuer Lack
-Neuer Kolben 
-Neuer Auspuff, Bereifung
Wurde viel Zeit inverstiert.
Wird bei Kauf mit neuer Plakette 2025 versehen.
0792671143",No price found,No date & place found
"Zu verkaufen Sachs Hercules 623 CH Luxe
-Neuer Lack
-Neuer Kolben 
-Neuer Auspuff, Bereifung
Wurde viel Zeit inverstiert.
Wird bei Kauf mit neuer Plakette 2025 versehen.
0792671143","Wenig gebrauchte Africa Twin mit Sturzbügel (kostete 487.-) und tieferen Sattel (kostete 229.- zusätzl. 229.- Tieferlegungskit). Tieferlegung Betriebserlaubnis vorhanden.  Originalsattel noch nie gebraucht wird mitgeliefert (siehe Bild). Navigerät- Halterung vorne fix installiert: Navi kann nur noch eingehängt werden). 
Kilometerstand nur 9600km.
Stand immer in einer Garage. Wurde regelmässig, aber nicht weit bewegt.",No price found,No date & place found
"Africa Twin CRF1000 rot, mit Sturzbügel, tiefer Sattel","Wenig gebrauchte Africa Twin mit Sturzbügel (kostete 487.-) und tieferen Sattel (kostete 229.- zusätzl. 229.- Tieferlegungskit). Tieferlegung Betriebserlaubnis vorhanden.  Originalsattel noch nie gebraucht wird mitgeliefert (siehe Bild). Navigerät- Halterung vorne fix installiert: Navi kann nur noch eingehängt werden). 
Kilometerstand nur 9600km.
Stand immer in einer Garage. Wurde regelmässig, aber nicht weit bewegt.",No price found,No date & place found
"Wenig gebrauchte Africa Twin mit Sturzbügel (kostete 487.-) und tieferen Sattel (kostete 229.- zusätzl. 229.- Tieferlegungskit). Tieferlegung Betriebserlaubnis vorhanden.  Originalsattel noch nie gebraucht wird mitgeliefert (siehe Bild). Navigerät- Halterung vorne fix installiert: Navi kann nur noch eingehängt werden). 
Kilometerstand nur 9600km.
Stand immer in einer Garage. Wurde regelmässig, aber nicht weit bewegt.","Funktioniert noch super 
4920km
Preis verhandelbar
Mit Rücklehne
Forza City Go RS
Geschwindigkeit bis zu 45 km/h

Fahrbar ohne Führerschein bis zu 25 km/h

Fahrbar mit Führerschein bis zu 45 km/h

Reichweite bis zu 100 km

Herausnehmbare Lithium Batterie und Schnellladegerät",No price found,No date & place found
City go rs,"Funktioniert noch super 
4920km
Preis verhandelbar
Mit Rücklehne
Forza City Go RS
Geschwindigkeit bis zu 45 km/h

Fahrbar ohne Führerschein bis zu 25 km/h

Fahrbar mit Führerschein bis zu 45 km/h

Reichweite bis zu 100 km

Herausnehmbare Lithium Batterie und Schnellladegerät",No price found,No date & place found
"Funktioniert noch super 
4920km
Preis verhandelbar
Mit Rücklehne
Forza City Go RS
Geschwindigkeit bis zu 45 km/h

Fahrbar ohne Führerschein bis zu 25 km/h

Fahrbar mit Führerschein bis zu 45 km/h

Reichweite bis zu 100 km

Herausnehmbare Lithium Batterie und Schnellladegerät",Vendo Honda VT500 Custom in buono stato. Ultimo collaudo agosto 2023. Solo seri interessati. Prezzo non trattabile.,No price found,No date & place found
Vendo Honda VT500 Custom,Vendo Honda VT500 Custom in buono stato. Ultimo collaudo agosto 2023. Solo seri interessati. Prezzo non trattabile.,No price found,No date & place found
Vendo Honda VT500 Custom in buono stato. Ultimo collaudo agosto 2023. Solo seri interessati. Prezzo non trattabile.,"Zu verkaufen schöne Street Triple in Top Zustand, 8200 km,JG 8/2021.
1.Hand . Neuwertig. Neue Batterie. 
Service bei 1080km/ 4390km /8125 km",No price found,No date & place found
Triumph Street Triple R 765,"Zu verkaufen schöne Street Triple in Top Zustand, 8200 km,JG 8/2021.
1.Hand . Neuwertig. Neue Batterie. 
Service bei 1080km/ 4390km /8125 km",No price found,No date & place found
"Zu verkaufen schöne Street Triple in Top Zustand, 8200 km,JG 8/2021.
1.Hand . Neuwertig. Neue Batterie. 
Service bei 1080km/ 4390km /8125 km",Motor wurde nicht geschädigt.,No price found,No date & place found
DUCATI PANIGALE,Motor wurde nicht geschädigt.,No price found,No date & place found
Motor wurde nicht geschädigt.,"HARLEY DAVIDSON VRSCR Spezial Porsche Design

 

Ein Kraftpaket auf der Strasse. Moto lauft sehr sehr gut und ist ein Hingucker.

 

Der letzte grosse Service wurde im Oktober 24 gemacht

Neue Reifen vorne und hinten

Felgen: 7.75x18 Zoll

V-Team Lenker Typ T2 860mm

RRC Street-Rod Heck

R&R Customizing Typ RRC01 Auspuff

RRC Auspuff komplett schw/matt

Hyperpro Stossdämpfer Kit RAC

Hyperpro Gabelfedern

Spoiler Motor Streetrod

Porsche Design",No price found,No date & place found
